id_inmueble,tipo,titulo,calle,barrio,zona,ciudad,localizacion,precio,precio_metro,caracteristicas,habitaciones,m_construidos,m_utiles,baños,referencia,anunciante,nombre,ultima_atualizacion,tlf,url,fecha,ultima_actualizacion,URL
106204912,Ventas,"Chalet adosado en venta en avenida Castillo de Monteagudo, 107","Avenida Castillo de Monteagudo, 107",Barrio El Esparragal,Norte,Murcia,"Avenida Castillo de Monteagudo, 107, Urb. Montepinar, Barrio El Esparragal, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",239.000€,996 €/m²,"['Chalet adosado', '3 plantas', '240 m² construidos, 150 m² útiles', '3 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 2005', 'Calefacción central: Gas']",3 plantas,,,"240 m² construidos, 150 m² útiles",106204912,Profesional,ASV INTER,,+34868350007,,2024-10-19 10:51:20,Anuncio actualizado el 8 de octubre,https://www.idealista.com/inmueble/106204912/
106228717,Ventas,Piso en venta en Vistabella,N/A,Barrio Vistabella,Centro,Murcia,"Barrio Vistabella, Distrito Centro, Murcia, Área de Murcia, Murcia",121.000€,1.052 €/m²,"['115 m² construidos, 100 m² útiles', '3 habitaciones', '1 baño', 'Segunda mano/buen estado']",3 habitaciones,,,1 baño,PIS_1729,Profesional,Ana Rios Gomez,,+34868350715,,2024-10-19 10:51:20,Anuncio actualizado el 11 de octubre,https://www.idealista.com/inmueble/106228717/
106227684,Ventas,"Casa o chalet independiente en venta en carril Torre Molina, 55","Carril Torre Molina, 55",Barrio La Albatalía,Este,Murcia,"Carril Torre Molina, 55, Barrio La Albatalía, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia",450.000€,1.216 €/m²,"['Casa o chalet independiente', '1 planta', '370 m² construidos, 170 m² útiles', '4 habitaciones', '3 baños', 'Parcela de 450 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2023', 'Calefacción individual']",1 planta,,,"370 m² construidos, 170 m² útiles",106227684,Particular,Mariano,,+34655970024,,2024-10-19 10:51:20,Anuncio actualizado el 16 de octubre,https://www.idealista.com/inmueble/106227684/
106034413,Ventas,Casa o chalet independiente en venta en Javalí Viejo,N/A,Barrio Javalí Viejo,Este,Murcia,"Barrio Javalí Viejo, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia",120.900€,626 €/m²,"['Casa o chalet independiente', '2 plantas', '193 m² construidos', '3 habitaciones', '3 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1990', 'Calefacción individual']",2 plantas,,,193 m² construidos,YOU0132,Profesional,Youpiso Real Estate,,+34868355558,,2024-10-19 10:51:20,Anuncio actualizado el 10 de octubre,https://www.idealista.com/inmueble/106034413/
106227844,Ventas,Finca rústica en venta en calle Mar Menor,Calle Mar Menor,Barrio El Raal,Este,Murcia,"Calle Mar Menor, Barrio El Raal, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",300.000€,1.064 €/m²,"['Finca rústica', '2 plantas', '282 m² construidos, 250 m² útiles', '4 habitaciones', '2 baños', 'Parcela de 579 m²', 'Terraza y balcón', 'Chimenea', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Calefacción individual: Eléctrica']",2 plantas,,,"282 m² construidos, 250 m² útiles",CP-V395,Profesional,José Manuel Tafalla,,+34965025027,,2024-10-19 10:51:20,Anuncio actualizado el 15 de octubre,https://www.idealista.com/inmueble/106227844/
106227826,Ventas,Piso en venta en plaza Sandoval,Plaza Sandoval,Barrio San Andrés-San Antolín,Centro,Murcia,"Plaza Sandoval, Barrio San Andrés-San Antolín, Distrito Centro, Murcia, Área de Murcia, Murcia",144.900€,1.089 €/m²,"['133 m² construidos, 128 m² útiles', '4 habitaciones', '2 baños', 'Balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación sur', 'Construido en 1975', 'No dispone de calefacción', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']",4 habitaciones,,,2 baños,Plz 2,Profesional,FELICIDAD BELTRAN,,+34868350219,,2024-10-19 10:51:20,Anuncio actualizado el 10 de octubre,https://www.idealista.com/inmueble/106227826/
106214613,Ventas,Dúplex en venta en Cobatillas,N/A,Barrio Cobatillas,Norte,Murcia,"Barrio Cobatillas, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",165.000€,1.100 €/m²,"['150 m² construidos', '4 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Bajo exterior', 'Sin ascensor']",4 habitaciones,,,3 baños,COB008-NA,Profesional,Pisocasion.es El Carmen,,+34868350912,,2024-10-19 10:51:20,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106214613/
106228657,Ventas,Casa o chalet independiente en venta en Cañadas de San Pedro,N/A,Barrio Cañadas de San Pedro,N/A,Murcia,"Barrio Cañadas de San Pedro, Distrito Campo de Murcia, Murcia, Área de Murcia, Murcia",199.000€,1.327 €/m²,"['Casa o chalet independiente', '1 planta', '150 m² construidos, 140 m² útiles', '3 habitaciones', '3 baños', 'Parcela de 292 m²', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 2022', 'Calefacción individual']",1 planta,,,"150 m² construidos, 140 m² útiles",V290,Profesional,Vibe Gestión Inmobiliaria,,+34868350228,,2024-10-19 10:51:20,Anuncio actualizado el 10 de octubre,https://www.idealista.com/inmueble/106228657/
106228693,Ventas,Piso en venta en San Juan,N/A,Barrio San Juan,Centro,Murcia,"Barrio San Juan, Distrito Centro, Murcia, Área de Murcia, Murcia",150.000€,1.786 €/m²,"['84 m² construidos, 73 m² útiles', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Planta 4ª', 'Con ascensor']",3 habitaciones,,,1 baño,PIS_1724,Profesional,Ana Rios Gomez,,+34868350715,,2024-10-19 10:51:20,Anuncio actualizado el 14 de octubre,https://www.idealista.com/inmueble/106228693/
106134620,Ventas,"Piso en venta en calle Doctor José López Alemán, 6","Calle Doctor José López Alemán, 6",Barrio San Andrés-San Antolín,Centro,Murcia,"Calle Doctor José López Alemán, 6, Barrio San Andrés-San Antolín, Distrito Centro, Murcia, Área de Murcia, Murcia",220.000€,1.594 €/m²,"['138 m² construidos', '3 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Orientación oeste', 'Planta 4ª exterior', 'Con ascensor']",3 habitaciones,,,2 baños,106134620,Particular,silviasanchez,,+34639300506,,2024-10-19 10:51:20,Anuncio actualizado el 13 de octubre,https://www.idealista.com/inmueble/106134620/
106228718,Ventas,"Piso en venta en calle Huerto Capuchinos, 6","Calle Huerto Capuchinos, 6",Barrio El Carmen,Sur,Murcia,"Calle Huerto Capuchinos, 6, Barrio El Carmen, Distrito Sur, Murcia, Área de Murcia, Murcia",180.000€,1.714 €/m²,"['105 m² construidos', '3 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor']",3 habitaciones,,,2 baños,106228718,Particular,jose,,+34630861096,,2024-10-19 10:51:20,Anuncio actualizado el 16 de octubre,https://www.idealista.com/inmueble/106228718/
106228437,Ventas,"Piso en venta en calle Lepanto, 3","Calle Lepanto, 3",Barrio San Miguel,Centro,Murcia,"Calle Lepanto, 3, Barrio San Miguel, Distrito Centro, Murcia, Área de Murcia, Murcia",395.000€,3.238 €/m²,"['122 m² construidos, 100 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1950', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']",3 habitaciones,,,2 baños,1063,Profesional,Fernández&nortes Jurídico E Inmobiliario,,+34868355394,,2024-10-19 10:51:20,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106228437/
106228999,Ventas,Dúplex en venta en Espinardo,N/A,Barrio Espinardo,Norte,Murcia,"Barrio Espinardo, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",185.000€,1.201 €/m²,"['154 m² construidos', '3 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, sur', 'Construido en 2009', 'Calefacción central', 'Planta 5ª exterior', 'Con ascensor']",3 habitaciones,,,3 baños,Puj00331,Profesional,Inmobiliaria Pujante,,+34868350423,,2024-10-19 10:51:20,Anuncio actualizado el 10 de octubre,https://www.idealista.com/inmueble/106228999/
106228983,Ventas,Piso en venta en calle General Prim,Calle General Prim,Barrio Cabezo de Torres,Norte,Murcia,"Calle General Prim, Barrio Cabezo de Torres, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",131.500€,1.264 €/m²,"['104 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Sin ascensor']",3 habitaciones,,,2 baños,C1-16772-0001,Profesional,solvia inmobiliaria,,+34919388857,,2024-10-19 10:51:20,Anuncio actualizado el 15 de octubre,https://www.idealista.com/inmueble/106228983/
